CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Actual_Churn,Predicted_Churn
164376.0,23.0,0,10.0,16.0,8.0,16.0,1,2,589.0,13.0,1.0,1.0
131603.0,33.0,1,3.0,20.0,0.0,22.0,0,2,158.0,12.0,1.0,1.0
22407.0,27.0,0,57.0,3.0,0.0,24.0,2,0,915.0,26.0,1.0,1.0
102279.0,35.0,0,28.0,23.0,5.0,13.0,0,0,334.0,29.0,1.0,1.0
56652.0,41.0,0,20.0,22.0,0.0,15.0,0,1,814.0,6.0,1.0,1.0
84498.0,24.0,0,21.0,2.0,3.0,4.0,1,1,542.0,29.0,1.0,1.0
67800.0,34.0,1,54.0,10.0,6.0,8.0,1,0,702.0,7.0,1.0,1.0
32610.0,24.0,1,10.0,6.0,9.0,25.0,1,0,167.0,12.0,1.0,1.0
31527.0,37.0,0,32.0,6.0,7.0,17.0,0,1,565.0,14.0,1.0,1.0
242322.0,27.0,0,43.0,19.0,9.0,28.0,2,1,191.73,2.0,1.0,1.0
79053.0,29.0,0,33.0,13.0,6.0,12.0,0,1,661.0,23.0,1.0,1.0
211486.0,40.0,0,31.0,16.0,8.0,25.0,0,0,576.78,10.0,1.0,1.0
151852.0,59.0,0,60.0,10.0,5.0,7.0,2,0,164.0,25.0,1.0,1.0
254344.0,63.0,0,54.0,2.0,6.0,17.0,2,1,688.35,22.0,1.0,1.0
233769.0,22.0,0,5.0,19.0,8.0,12.0,0,1,518.99,13.0,1.0,1.0
98516.0,37.0,0,51.0,7.0,4.0,26.0,2,0,487.0,26.0,1.0,1.0
234762.0,58.0,0,20.0,30.0,4.0,10.0,0,1,197.66,27.0,1.0,1.0
115244.0,48.0,1,33.0,6.0,0.0,12.0,0,0,186.0,22.0,1.0,1.0
166086.0,52.0,0,43.0,28.0,4.0,3.0,0,0,774.0,25.0,1.0,1.0
227279.0,61.0,1,36.0,5.0,2.0,24.0,2,0,571.64,9.0,1.0,1.0
197065.0,50.0,0,9.0,7.0,1.0,28.0,0,0,547.0,28.0,1.0,1.0
106657.0,47.0,0,36.0,27.0,1.0,27.0,2,1,397.0,15.0,1.0,1.0
126200.0,29.0,0,2.0,5.0,8.0,18.0,0,0,218.0,2.0,1.0,1.0
257255.0,65.0,0,48.0,28.0,1.0,15.0,0,2,923.95,20.0,1.0,1.0
40883.0,60.0,0,20.0,28.0,10.0,23.0,1,0,929.0,12.0,1.0,1.0
96676.0,32.0,0,1.0,3.0,1.0,18.0,2,0,287.0,15.0,1.0,1.0
100589.0,64.0,1,58.0,7.0,4.0,7.0,0,0,890.0,4.0,1.0,1.0
258172.0,41.0,0,49.0,28.0,7.0,1.0,0,2,105.13,30.0,1.0,1.0
4077.0,62.0,0,28.0,30.0,6.0,20.0,0,2,256.0,3.0,1.0,1.0
220613.0,25.0,1,34.0,20.0,6.0,10.0,0,2,814.15,10.0,1.0,1.0
9653.0,35.0,1,27.0,1.0,6.0,25.0,1,0,826.0,7.0,1.0,1.0
